"season","qb","dropbacks","effective","decision_rate","mean_epa","avg_time_to_throw","sacks","total_pass_touchdowns","interceptions","fumbles_lost","turnovers","turnover_rate"
2024,"J.Love",477,217,0.454926624737945,0.099913389258917,2.87295504165274,16,25,14,2,16,0.0335429769392034
2024,"J.Daniels",648,291,0.449074074074074,0.115589897881445,2.6797531556457,51,25,10,4,14,0.0216049382716049
2024,"D.Maye",374,165,0.441176470588235,-0.0838573879999154,2.74376784270783,34,15,10,5,15,0.0401069518716578
2024,"G.Minshew",333,145,0.435435435435435,-0.137163160910873,2.68462726127871,29,9,10,3,13,0.039039039039039
2024,"J.Herbert",581,251,0.432013769363167,0.0730589033232524,2.92042912345859,45,23,7,2,9,0.0154905335628227
2024,"T.Lawrence",305,127,0.416393442622951,-0.0107588895066432,2.68075370983733,18,11,7,3,10,0.0327868852459016
2024,"A.Rodgers",627,261,0.416267942583732,-0.00201690890789766,2.68942213411477,40,28,11,5,16,0.025518341307815
2024,"R.Wilson",401,165,0.411471321695761,0.00796501178539155,2.84225013906914,37,16,5,3,8,0.0199501246882793
2024,"D.Prescott",307,126,0.41042345276873,-0.0628091833448867,2.77320873404603,21,11,8,3,11,0.0358306188925081
2024,"B.Nix",615,252,0.409756097560976,0.0165591793334916,2.91901073143463,26,29,12,4,16,0.0260162601626016
2024,"C.Stroud",655,268,0.409160305343511,-0.0258858281146782,2.98293603341319,63,20,13,3,16,0.0244274809160305
2024,"D.Jones",371,150,0.404312668463612,-0.0979219502412861,2.70696862607185,29,8,7,2,9,0.0242587601078167
2024,"C.Rush",321,129,0.401869158878505,-0.101521299297465,2.54421180406218,13,12,5,4,9,0.0280373831775701
2024,"J.Winston",326,130,0.398773006134969,-0.0924041574721366,2.80636340863788,24,13,12,3,15,0.0460122699386503
2024,"B.Young",414,157,0.379227053140097,-0.0732497342069132,2.7761676248279,29,15,9,2,11,0.0265700483091787
2024,"C.Williams",636,241,0.378930817610063,-0.0889985273748756,2.92584944871808,68,20,6,5,11,0.0172955974842767
2024,"W.Levis",344,119,0.34593023255814,-0.190462012035645,2.6691887790593,41,13,12,3,15,0.0436046511627907
